Name: angerville-1
Location: 48.3201 , 2.0284
Issued: 2020/07/26 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/26 18:00UTC,2.74,259
2020/07/26 21:00UTC,1.25,237
2020/07/27 00:00UTC,0.89,228
2020/07/27 03:00UTC,2.01,159
2020/07/27 06:00UTC,2.91,192
2020/07/27 09:00UTC,5.90,205
2020/07/27 12:00UTC,6.65,226
2020/07/27 15:00UTC,7.88,242
2020/07/27 18:00UTC,5.94,246
2020/07/27 21:00UTC,4.75,255
2020/07/28 00:00UTC,4.49,251
2020/07/28 03:00UTC,3.17,280
2020/07/28 06:00UTC,3.68,293
2020/07/28 09:00UTC,3.64,281
2020/07/28 12:00UTC,3.72,276
2020/07/28 15:00UTC,5.25,299
2020/07/28 18:00UTC,4.96,307
2020/07/28 21:00UTC,3.23,322
2020/07/29 00:00UTC,2.81,333
2020/07/29 03:00UTC,2.04,323
2020/07/29 06:00UTC,1.51,325
2020/07/29 09:00UTC,1.13,327
2020/07/29 12:00UTC,1.83,317
2020/07/29 15:00UTC,2.18,323
2020/07/29 18:00UTC,2.41,340
2020/07/29 21:00UTC,2.85,17
2020/07/30 00:00UTC,3.41,51
2020/07/30 03:00UTC,3.03,66
2020/07/30 06:00UTC,3.07,76
2020/07/30 09:00UTC,3.97,84
2020/07/30 12:00UTC,4.52,73
2020/07/30 15:00UTC,4.08,80
2020/07/30 18:00UTC,3.51,73
2020/07/30 21:00UTC,3.59,67
2020/07/31 00:00UTC,3.60,69
2020/07/31 03:00UTC,3.21,73
2020/07/31 06:00UTC,3.33,79
2020/07/31 09:00UTC,4.23,86
2020/07/31 12:00UTC,3.50,103
2020/07/31 15:00UTC,1.99,110
2020/07/31 18:00UTC,2.71,69
2020/07/31 21:00UTC,2.31,92
2020/08/01 00:00UTC,1.91,120
2020/08/01 03:00UTC,1.51,201
2020/08/01 06:00UTC,4.10,233
2020/08/01 09:00UTC,4.24,270
2020/08/01 12:00UTC,5.91,290
2020/08/01 15:00UTC,6.08,296
2020/08/01 18:00UTC,5.40,306
2020/08/01 21:00UTC,4.15,314
2020/08/02 00:00UTC,4.10,294
2020/08/02 03:00UTC,3.35,293
2020/08/02 06:00UTC,3.72,297
2020/08/02 09:00UTC,3.54,305
2020/08/02 12:00UTC,3.83,294
2020/08/02 15:00UTC,4.46,309
2020/08/02 18:00UTC,4.19,325
2020/08/02 21:00UTC,3.82,344
2020/08/03 00:00UTC,2.78,349
2020/08/03 03:00UTC,1.83,359
2020/08/03 06:00UTC,1.74,322
2020/08/03 09:00UTC,1.03,283
2020/08/03 12:00UTC,2.05,332
2020/08/03 15:00UTC,0.75,239
2020/08/03 18:00UTC,1.48,280
2020/08/03 21:00UTC,1.48,291
2020/08/04 00:00UTC,2.13,305
2020/08/04 03:00UTC,2.22,335
2020/08/04 06:00UTC,2.32,9
2020/08/04 09:00UTC,2.71,26
2020/08/04 12:00UTC,2.59,32
2020/08/04 15:00UTC,3.14,32
2020/08/04 18:00UTC,3.09,40
2020/08/04 21:00UTC,2.71,59
2020/08/05 00:00UTC,2.66,62
2020/08/05 03:00UTC,2.89,59
2020/08/05 06:00UTC,3.66,68
2020/08/05 09:00UTC,4.31,81
2020/08/05 12:00UTC,3.32,67
2020/08/05 15:00UTC,2.70,68
2020/08/05 18:00UTC,2.20,57
